REGION,LGA_NAME,WARD,VILLAGE,TECHNOLOGY IN USE,WATERPOINT,STATUS,LATITUDE,LONGITUDE
Coast,Bagamoyo,Yombo,Yombo,India mark II,Hand pump,Functional,-6.568758811,38.853984384
Coast,Bagamoyo,Yombo,Chasimba,Submersible,Domestic standpipe m,Not functional,-6.583870747,38.841740873
coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe m,Not functional,-6.583660505,38.838874258
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.583464574,38.838970355
Coast,Bagamoyo,Yombo,Chasimba,Nira/Tanira,Hand pump,Functional,-6.582711309,38.836771664
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.586188153,38.839163118
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.587755949,38.841995971
Coast,Bagamoyo,Yombo,Chasimba,Mono,Domestic standpipe,Functional,-6.583122280,38.843219086
Coast,Mkuranga,Magawa,Mdimli,India mark II,Hand pump,Not functional,-7.422851835,39.283105270
Coast,Kisarawe,Kibuta,Kauzeni,Gravity,Domestic standpipe,Functional,-7.111348588,38.929211836
Coast,Kisarawe,Msanga,Mianzi,India Mark III,Hand pump,Not functional,-7.298419161,38.768656111
Coast,Kisarawe,Masaki,Masaki,Gravity,Hand pump,Not functional,-7.066005430,38.956956210
Coast,Kisarawe,Masaki,Masaki,Gravity,Hand pump,Not functional,-7.088457317,38.949637968
Coast,Kisarawe,Masaki,Gumba,Gravity,Hand pump,Not functional,-7.108923466,39.009971844
Coast,Kisarawe,Masaki,Gumba,Others,Others,Not functional,-7.118156030,38.987078570
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe m,Functional,-7.100937811,39.000121440
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe,Functional,-7.101066700,39.000493224
Coast,Kisarawe,Masaki,Gumba,Gravity,Domestic standpipe,Functional,-7.101790358,39.000108609
Coast,Kisarawe,Masaki,Gumba,Gravity,Hand pump,Not functional,-7.096026012,38.995638912
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Functional,-7.080854800,38.975102983
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Functional,-7.080640072,38.974554123
Coast,Kisarawe,Masaki,Masaki,Nira/Tanira,Hand pump,Not functional,-6.991031972,38.976922963
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Functional,-7.009849852,38.974476267
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Not functional,-7.010354139,38.981990316
Coast,Kisarawe,Masaki,Kisanga,Nira/Tanira,Hand pump,Functional,-6.981886155,38.988872898
Coast,Kisarawe,Masaki,Songwe,Nira/Tanira,Hand pump,Not functional,-7.048149910,38.971235485
Coast,Kisarawe,Masaki,Sungwi,Nira/Tanira,Hand pump,Not functional,-7.051592506,38.970565886
Coast,Kisarawe,Masaki,Sungwi,Mono,Domestic standpipe,Not functional,-7.042271777,38.972999129
Coast,Kisarawe,Masaki,Sungwi,Gravity,Domestic standpipe,Functional,-7.041845475,38.973339380
Coast,Kisarawe,Masaki,Sungwi,Gravity,Domestic standpipe,Not functional,-7.041046425,38.973563766
Coast,Kisarawe,Masaki,Masaki,Mono,Domestic standpipe,Functional,-7.076908480,38.972569033
Coast,Kisarawe,Masaki,Masaki,Mono,Domestic standpipe,Functional,-7.076172802,38.973065532
Coast,Kisarawe,Kibuta,Masaki,Nira/Tanira,Hand pump,Not functional,-7.139382647,38.924896987
Coast,Kisarawe,Kibuta,kibuta,Gravity,Domestic standpipe m,Functional,-7.142217102,38.927772565
Coast,Kisarawe,Kibuta,kibuta,Gravity,Domestic standpipe m,Functional,-7.141772789,38.928267361
Coast,Kisarawe,Kibuta,Kibuta,Gravity,Domestic standpipe,Functional,-7.141707634,38.928278201
Coast,Kisarawe,Kibuta,Masaki,Nira/Tanira,Hand pump,Not functional,-7.145677361,38.916948777
Coast,Kisarawe,Kibuta,Kibuta mjini,India mark II,Hand pump,Not functional,-7.133759274,38.905860533
Coast,Mafia,Kiegeani,Kiegeani,Gravity,Domestic standpipe,Functional,-7.972663834,39.737885135
Coast,Kisarawe,Kibuta,Mtamba,Submersible,Others,Functional,-7.056419444,38.887731854
Coast,Kisarawe,Kibuta,Mtamba,Submersible,Others,Functional,-7.051401011,38.889730989
